Loop: 0
Nodes,CPU Power,RAM Capacity,Active Connections,Remaining CPU Power,Remaining RAM Space,Initial Weight,remaining weights,WLC
node-12,1500.0,2048,1,1499.0,2046.0,100.0,99.91783854166667,0.0011120247668766046
node-13,7168.0,16384,2,7166.0,16380.0,100.0,99.97384207589286,0.0022228036615170527
node-14,2000.0,3000,1,1999.0,2998.0,100.0,99.94166666666666,0.0011117596375663584
node-15,1100.0,10240,1,1099.0,10238.0,100.0,99.94477982954547,0.0011117250075552687
node-16,3120.0,12384,2,3118.0,12380.0,100.0,99.95179884714769,0.002223293875501509

Loop: 3
Nodes,CPU Power,RAM Capacity,Active Connections,Remaining CPU Power,Remaining RAM Space,Initial Weight,remaining weights,WLC
node-1,1024.0,8192,1,1023.0,8190.0,100.0,99.93896484375,0.0014294438918843462
node-2,2048.0,8192,1,2047.0,8190.0,100.0,99.96337890625,0.0014290947787101165
node-3,2800.0,9000,1,2799.0,8998.0,100.0,99.97103174603174,0.0014289853806856748
node-4,1800.0,7000,1,1799.0,6998.0,100.0,99.95793650793651,0.0014291725884697532
node-5,2048.0,12000,2,2046.0,11996.0,100.0,99.93450520833333,0.0020013107543091374
node-6,1500.0,2048,1,1499.0,2046.0,100.0,99.91783854166667,0.0010008222901889442
node-7,1800.0,11000,1,1799.0,10998.0,100.0,99.96313131313131,0.001250461028561035
node-8,980.0,1638,1,979.0,1636.0,100.0,99.88792953078666,0.0012514024526003764
node-9,800.0,1024,1,799.0,1022.0,100.0,99.83984375,0.0012520051645213037
node-10,1900.0,8500,1,1899.0,8498.0,100.0,99.96191950464396,0.0012504761875265194
node-11,3000.0,16000,1,2999.0,15998.0,100.0,99.97708333333333,0.0012502865239950823
node-12,1500.0,2048,1,1499.0,2046.0,100.0,99.91783854166667,0.0010008222901889442
node-13,7168.0,16384,2,7166.0,16380.0,100.0,99.97384207589286,0.0020005232953653473
node-14,2000.0,3000,1,1999.0,2998.0,100.0,99.94166666666666,0.0010005836738097224
node-15,1100.0,10240,1,1099.0,10238.0,100.0,99.94477982954547,0.0010005525067997418
node-16,3120.0,12384,2,3118.0,12380.0,100.0,99.95179884714769,0.0020009644879513577

Loop: 4
Nodes,CPU Power,RAM Capacity,Active Connections,Remaining CPU Power,Remaining RAM Space,Initial Weight,remaining weights,WLC
node-1,1024.0,8192,1,1023.0,8190.0,100.0,99.93896484375,0.0014294438918843462
node-2,2048.0,8192,1,2047.0,8190.0,100.0,99.96337890625,0.0014290947787101165
node-3,2800.0,9000,1,2799.0,8998.0,100.0,99.97103174603174,0.0014289853806856748
node-4,1800.0,7000,1,1799.0,6998.0,100.0,99.95793650793651,0.0014291725884697532
node-5,2048.0,12000,2,2046.0,11996.0,100.0,99.93450520833333,0.0018193734130083068
node-6,1500.0,2048,1,1499.0,2046.0,100.0,99.91783854166667,9.098384456263129E-4
node-7,1800.0,11000,1,1799.0,10998.0,100.0,99.96313131313131,0.001250461028561035
node-8,980.0,1638,1,979.0,1636.0,100.0,99.88792953078666,0.0012514024526003764
node-9,800.0,1024,1,799.0,1022.0,100.0,99.83984375,0.0012520051645213037
node-10,1900.0,8500,1,1899.0,8498.0,100.0,99.96191950464396,0.0012504761875265194
node-11,3000.0,16000,1,2999.0,15998.0,100.0,99.97708333333333,0.0012502865239950823
node-12,1500.0,2048,1,1499.0,2046.0,100.0,99.91783854166667,9.098384456263129E-4
node-13,7168.0,16384,2,7166.0,16380.0,100.0,99.97384207589286,0.0018186575412412246
node-14,2000.0,3000,1,1999.0,2998.0,100.0,99.94166666666666,9.096215216452021E-4
node-15,1100.0,10240,2,1098.0,10236.0,100.0,99.8895596590909,0.001820192044480943
node-16,3120.0,12384,2,3118.0,12380.0,100.0,99.95179884714769,0.0018190586254103252

Loop: 5
Nodes,CPU Power,RAM Capacity,Active Connections,Remaining CPU Power,Remaining RAM Space,Initial Weight,remaining weights,WLC
node-1,1024.0,8192,1,1023.0,8190.0,100.0,99.93896484375,0.0014294438918843462
node-2,2048.0,8192,1,2047.0,8190.0,100.0,99.96337890625,0.0014290947787101165
node-3,2800.0,9000,1,2799.0,8998.0,100.0,99.97103174603174,0.0014289853806856748
node-4,1800.0,7000,1,1799.0,6998.0,100.0,99.95793650793651,0.0014291725884697532
node-5,2048.0,12000,2,2046.0,11996.0,100.0,99.93450520833333,0.0016677589619242812
node-6,1500.0,2048,1,1499.0,2046.0,100.0,99.91783854166667,8.340185751574536E-4
node-7,1800.0,11000,1,1799.0,10998.0,100.0,99.96313131313131,0.001250461028561035
node-8,980.0,1638,1,979.0,1636.0,100.0,99.88792953078666,0.0012514024526003764
node-9,800.0,1024,1,799.0,1022.0,100.0,99.83984375,0.0012520051645213037
node-10,1900.0,8500,1,1899.0,8498.0,100.0,99.96191950464396,0.0012504761875265194
node-11,3000.0,16000,1,2999.0,15998.0,100.0,99.97708333333333,0.0012502865239950823
node-12,1500.0,2048,1,1499.0,2046.0,100.0,99.91783854166667,8.340185751574536E-4
node-13,7168.0,16384,2,7166.0,16380.0,100.0,99.97384207589286,0.0016671027461377895
node-14,2000.0,3000,2,1998.0,2996.0,100.0,99.88333333333334,0.0016686133822793256
node-15,1100.0,10240,2,1098.0,10236.0,100.0,99.8895596590909,0.001668509374107531
node-16,3120.0,12384,2,3118.0,12380.0,100.0,99.95179884714769,0.0016674704066261317

Loop: 6
Nodes,CPU Power,RAM Capacity,Active Connections,Remaining CPU Power,Remaining RAM Space,Initial Weight,remaining weights,WLC
node-1,1024.0,8192,1,1023.0,8190.0,100.0,99.93896484375,0.001250763405398803
node-2,2048.0,8192,1,2047.0,8190.0,100.0,99.96337890625,0.0012504579313713517
node-3,2800.0,9000,1,2799.0,8998.0,100.0,99.97103174603174,0.0012503622080999655
node-4,1800.0,7000,1,1799.0,6998.0,100.0,99.95793650793651,0.001250526014911034
node-5,2048.0,12000,2,2046.0,11996.0,100.0,99.93450520833333,0.0015394698110070288
node-6,1500.0,2048,2,1498.0,2044.0,100.0,99.83567708333334,0.0015409937443278687
node-7,1800.0,11000,1,1799.0,10998.0,100.0,99.96313131313131,0.001250461028561035
node-8,980.0,1638,1,979.0,1636.0,100.0,99.88792953078666,0.0012514024526003764
node-9,800.0,1024,1,799.0,1022.0,100.0,99.83984375,0.0012520051645213037
node-10,1900.0,8500,1,1899.0,8498.0,100.0,99.96191950464396,0.0012504761875265194
node-11,3000.0,16000,1,2999.0,15998.0,100.0,99.97708333333333,0.0012502865239950823
node-12,1500.0,2048,1,1499.0,2046.0,100.0,99.91783854166667,7.698633001453418E-4
node-13,7168.0,16384,2,7166.0,16380.0,100.0,99.97384207589286,0.0015388640733579595
node-14,2000.0,3000,2,1998.0,2996.0,100.0,99.88333333333334,0.0015402585067193777
node-15,1100.0,10240,2,1098.0,10236.0,100.0,99.8895596590909,0.0015401624991761827
node-16,3120.0,12384,2,3118.0,12380.0,100.0,99.95179884714769,0.0015392034522702753

Loop: 7
Nodes,CPU Power,RAM Capacity,Active Connections,Remaining CPU Power,Remaining RAM Space,Initial Weight,remaining weights,WLC
node-1,1024.0,8192,1,1023.0,8190.0,100.0,99.93896484375,0.001250763405398803
node-2,2048.0,8192,1,2047.0,8190.0,100.0,99.96337890625,0.0012504579313713517
node-3,2800.0,9000,1,2799.0,8998.0,100.0,99.97103174603174,0.0012503622080999655
node-4,1800.0,7000,1,1799.0,6998.0,100.0,99.95793650793651,0.001250526014911034
node-5,2048.0,12000,2,2046.0,11996.0,100.0,99.93450520833333,0.0014295076816493839
node-6,1500.0,2048,2,1498.0,2044.0,100.0,99.83567708333334,0.001430922762590164
node-7,1800.0,11000,1,1799.0,10998.0,100.0,99.96313131313131,0.0011115209142764757
node-8,980.0,1638,1,979.0,1636.0,100.0,99.88792953078666,0.001112357735644779
node-9,800.0,1024,1,799.0,1022.0,100.0,99.83984375,0.001112893479574492
node-10,1900.0,8500,1,1899.0,8498.0,100.0,99.96191950464396,0.0011115343889124619
node-11,3000.0,16000,1,2999.0,15998.0,100.0,99.97708333333333,0.0011113657991067398
node-12,1500.0,2048,2,1498.0,2044.0,100.0,99.83567708333334,0.001430922762590164
node-13,7168.0,16384,2,7166.0,16380.0,100.0,99.97384207589286,0.0014289452109752482
node-14,2000.0,3000,2,1998.0,2996.0,100.0,99.88333333333334,0.0014302400419537078
node-15,1100.0,10240,2,1098.0,10236.0,100.0,99.8895596590909,0.0014301508920921695
node-16,3120.0,12384,2,3118.0,12380.0,100.0,99.95179884714769,0.0014292603485366842

Loop: 8
Nodes,CPU Power,RAM Capacity,Active Connections,Remaining CPU Power,Remaining RAM Space,Initial Weight,remaining weights,WLC
node-1,1024.0,8192,1,1023.0,8190.0,100.0,99.93896484375,0.001250763405398803
node-2,2048.0,8192,1,2047.0,8190.0,100.0,99.96337890625,0.0012504579313713517
node-3,2800.0,9000,1,2799.0,8998.0,100.0,99.97103174603174,0.0012503622080999655
node-4,1800.0,7000,1,1799.0,6998.0,100.0,99.95793650793651,0.001250526014911034
node-5,2048.0,12000,2,2046.0,11996.0,100.0,99.93450520833333,0.0014295076816493839
node-6,1500.0,2048,2,1498.0,2044.0,100.0,99.83567708333334,0.001430922762590164
node-7,1800.0,11000,1,1799.0,10998.0,100.0,99.96313131313131,0.001000368822848828
node-8,980.0,1638,1,979.0,1636.0,100.0,99.88792953078666,0.001001121962080301
node-9,800.0,1024,1,799.0,1022.0,100.0,99.83984375,0.001001604131617043
node-10,1900.0,8500,1,1899.0,8498.0,100.0,99.96191950464396,0.0010003809500212155
node-11,3000.0,16000,2,2998.0,15996.0,100.0,99.95416666666667,0.0020009170869982077
node-12,1500.0,2048,2,1498.0,2044.0,100.0,99.83567708333334,0.001430922762590164
node-13,7168.0,16384,2,7166.0,16380.0,100.0,99.97384207589286,0.0014289452109752482
